,Date,City,Country,Lat,Lng,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed
0,07-23-2020,port alfred,ZA,-33.59,26.89,63.75,53.0,0.0,7.74
1,07-23-2020,new norfolk,AU,-42.78,147.06,39.9,87.0,99.0,2.62
2,07-23-2020,tshikapa,CD,-6.42,20.8,83.37,21.0,37.0,2.17
3,07-23-2020,kodiak,US,57.79,-152.41,57.2,71.0,1.0,4.7
4,07-23-2020,qaanaaq,GL,77.48,-69.36,49.05,51.0,0.0,1.63
5,07-23-2020,kapaa,US,22.08,-159.32,74.86,83.0,40.0,10.29
6,07-23-2020,bluff,NZ,-46.6,168.33,39.0,83.0,87.0,3.0
7,07-23-2020,aksu,CN,41.12,80.26,79.66,25.0,29.0,6.4
8,07-23-2020,zhuhai,CN,22.28,113.57,85.69,83.0,20.0,5.82
10,07-23-2020,ponta do sol,PT,32.67,-17.1,72.16,64.0,20.0,13.87
11,07-23-2020,cidreira,BR,-30.18,-50.21,71.04,70.0,99.0,7.63
12,07-23-2020,bollnas,SE,61.35,16.39,60.17,45.0,97.0,11.72
13,07-23-2020,ola,RU,59.58,151.28,52.9,83.0,98.0,1.05
14,07-23-2020,albany,US,42.6,-73.97,81.61,79.0,62.0,4.34
16,07-23-2020,yerbogachen,RU,61.28,108.01,55.09,93.0,3.0,5.57
17,07-23-2020,carnarvon,AU,-24.87,113.63,60.8,100.0,0.0,10.29
18,07-23-2020,peleduy,RU,59.63,112.74,57.9,90.0,74.0,3.47
19,07-23-2020,kalmunai,LK,7.42,81.82,80.4,80.0,100.0,14.47
20,07-23-2020,atuona,PF,-9.8,-139.03,78.31,74.0,6.0,21.34
21,07-23-2020,san patricio,MX,19.22,-104.7,89.6,75.0,75.0,9.17
22,07-23-2020,manokwari,ID,-0.87,134.08,79.66,67.0,22.0,3.65
23,07-23-2020,paez,CO,5.1,-73.05,76.75,61.0,55.0,4.97
25,07-23-2020,plouzane,FR,48.38,-4.62,68.63,60.0,21.0,8.05
26,07-23-2020,norman wells,CA,65.28,-126.83,57.2,82.0,75.0,4.7
27,07-23-2020,dikson,RU,73.51,80.55,41.76,87.0,21.0,7.87
28,07-23-2020,swidwin,PL,53.77,15.78,64.0,52.0,23.0,1.99
29,07-23-2020,punta arenas,CL,-53.15,-70.92,39.09,76.0,20.0,16.11
30,07-23-2020,williams lake,CA,52.14,-122.14,73.4,64.0,75.0,2.24
31,07-23-2020,hovd,MN,48.01,91.64,67.3,55.0,67.0,1.83
32,07-23-2020,cockburn town,TC,21.46,-71.14,86.0,66.0,40.0,13.87
33,07-23-2020,busselton,AU,-33.65,115.33,44.44,72.0,5.0,3.62
34,07-23-2020,upernavik,GL,72.79,-56.15,46.22,73.0,78.0,11.63
35,07-23-2020,olafsvik,IS,64.89,-23.71,49.59,68.0,2.0,17.38
36,07-23-2020,chokurdakh,RU,70.63,147.92,63.73,72.0,38.0,5.91
38,07-23-2020,lagos,NG,6.58,3.75,82.4,74.0,75.0,6.93
39,07-23-2020,puerto ayora,EC,-0.74,-90.35,73.29,69.0,20.0,21.92
40,07-23-2020,georgetown,MY,5.41,100.34,80.31,88.0,20.0,4.7
41,07-23-2020,bambous virieux,MU,-20.34,57.76,68.95,56.0,75.0,18.34
42,07-23-2020,kemijarvi,FI,66.71,27.43,63.12,86.0,62.0,9.82
43,07-23-2020,basoko,CD,1.24,23.62,77.13,75.0,94.0,1.39
44,07-23-2020,sobolevo,RU,54.43,31.9,57.58,83.0,5.0,5.57
45,07-23-2020,vardo,NO,70.37,31.11,55.4,87.0,75.0,14.99
46,07-23-2020,axim,GH,4.87,-2.24,77.95,77.0,98.0,10.33
47,07-23-2020,nizhneangarsk,RU,55.78,109.55,51.98,86.0,76.0,2.01
48,07-23-2020,gonbad-e qabus,IR,37.25,55.17,82.4,74.0,75.0,6.93
49,07-23-2020,hobart,AU,-42.88,147.33,40.28,75.0,97.0,5.82
50,07-23-2020,zemio,CF,5.03,25.14,70.97,94.0,69.0,2.35
51,07-23-2020,porto walter,BR,-8.27,-72.74,95.23,38.0,25.0,2.46
52,07-23-2020,ilulissat,GL,69.22,-51.1,53.6,50.0,75.0,3.36
